id,Name,Period,Stock,Percentage_of_portfolio,Shares,Recent_activity,Price,Value,Paresing_date,Ticker
2020Q2_1,Christopher Davis - Clipper,Q1 2020,BRK.A - Berkshire Hathaway CL A,9.19,258,Reduce 18.87%,$272000.00,"$70,176,000",2020-06-07,BRK.A
2020Q2_2,Christopher Davis - Clipper,Q1 2020,AMZN - Amazon Corp.,8.27,"32,391",Reduce 22.04%,$1949.71,"$63,153,000",2020-06-07,AMZN
2020Q2_3,Christopher Davis - Clipper,Q1 2020,GOOG - Alphabet Inc. CL C,7.55,"49,582",Reduce 6.40%,$1162.80,"$57,654,000",2020-06-07,GOOG
2020Q2_4,Christopher Davis - Clipper,Q1 2020,RTX - Raytheon Technologies Corp.,6.61,"534,835",Reduce 0.56%,$94.33,"$50,451,000",2020-06-07,RTX
2020Q2_5,Christopher Davis - Clipper,Q1 2020,MKL - Markel Corp.,6.21,"51,047",Reduce 0.56%,$927.89,"$47,366,000",2020-06-07,MKL
2020Q2_6,Christopher Davis - Clipper,Q1 2020,GOOGL - Alphabet Inc.,5.96,"39,120",Reduce 6.43%,$1161.94,"$45,455,000",2020-06-07,GOOGL
2020Q2_7,Christopher Davis - Clipper,Q1 2020,BK - Bank of New York Mellon Corp.,5.76,"1,305,373",Reduce 0.56%,$33.68,"$43,965,000",2020-06-07,BK
2020Q2_8,Christopher Davis - Clipper,Q1 2020,EDU - New Oriental Education & Technology,5.52,"389,530",Reduce 20.01%,$108.24,"$42,163,000",2020-06-07,EDU
2020Q2_9,Christopher Davis - Clipper,Q1 2020,FB - Facebook Inc.,5.17,"236,400",Reduce 0.56%,$166.80,"$39,432,000",2020-06-07,FB
2020Q2_10,Christopher Davis - Clipper,Q1 2020,COF - Capital One Financial,4.95,"749,953",Reduce 0.56%,$50.42,"$37,813,000",2020-06-07,COF
2020Q2_11,Christopher Davis - Clipper,Q1 2020,WFC - Wells Fargo,4.75,"1,263,832",Add 5.99%,$28.70,"$36,272,000",2020-06-07,WFC
2020Q2_12,Christopher Davis - Clipper,Q1 2020,JPM - JPMorgan Chase & Co.,3.96,"336,092",Reduce 0.56%,$90.03,"$30,258,000",2020-06-07,JPM
2020Q2_13,Christopher Davis - Clipper,Q1 2020,AXP - American Express,3.73,"332,626",Reduce 0.56%,$85.61,"$28,476,000",2020-06-07,AXP
2020Q2_14,Christopher Davis - Clipper,Q1 2020,USB - U.S. Bancorp,3.35,"742,720",Add 8.45%,$34.45,"$25,587,000",2020-06-07,USB
2020Q2_15,Christopher Davis - Clipper,Q1 2020,BABA - Alibaba Group Holdings,3.17,"124,510",Reduce 0.56%,$194.48,"$24,215,000",2020-06-07,BABA
2020Q2_16,Christopher Davis - Clipper,Q1 2020,INTC - Intel Corp.,2.60,"366,500", ,$54.12,"$19,835,000",2020-06-07,INTC
2020Q2_17,Christopher Davis - Clipper,Q1 2020,DGX - Quest Diagnostics,2.50,"237,270", ,$80.30,"$19,053,000",2020-06-07,DGX
2020Q2_18,Christopher Davis - Clipper,Q1 2020,AMAT - Applied Materials,2.34,"389,560",Buy ,$45.82,"$17,850,000",2020-06-07,AMAT
