,Stock,Sector,Buy_num,Buy_total,Sell_num,Sell_total,Ticker
0,Glacier Bancorp (GBCI),Financials,3,"$227,153",0,$0,GBCI
1,ServiceNow Inc. (NOW),Technology,0,$0,96,"$130,667,363",NOW
2,Swatch Group AG-D (UHR-D),Consumer Discretionary,0,$0,0,$0,UHR-D
3,Eldorado Resorts Inc. (ERI),Consumer Cyclical,0,$0,8,"$28,679,281",ERI
4,Carter Bank & Trust (CARE),Financials,0,$0,0,$0,CARE
5,Wyndham Hotels & Resorts Inc. (WH),Consumer Cyclical,2,"$639,770",0,$0,WH
6,Micron Technology Inc. (MU),Information Technology,0,$0,2,"$314,235",MU
7,ViewRay Inc. (VRAY),Health Care,0,$0,0,$0,VRAY
8,Celanese Corp. (CE),Materials,0,$0,0,$0,CE
9,Oshkosh Corp. (OSK),Industrials,0,$0,0,$0,OSK
10,S&W Seed Co. (SANW),Consumer Goods,17,"$477,389",0,$0,SANW
11,Energy Transfer LP (ET),Energy,38,"$17,840,170",1,"$797,581",ET
12,ACI Worldwide Inc. (ACIW),Technology,1,"$748,495",0,$0,ACIW
13,Pacific Drilling S.A. (PACD),Materials,1,"$45,982",4,"$987,560",PACD
14,Concho Resources Inc. (CXO),Materials,0,$0,2,"$1,202,283",CXO
15,Resolute Forest Products (RFP),Consumer Goods,0,$0,0,$0,RFP
16,FSB Bancorp Inc. (FSBC),Financials,0,$0,0,$0,FSBC
17,Big Lots Inc. (BIG),Consumer Discretionary,0,$0,4,"$76,447",BIG
18,Quotient Technology Inc. (QUOT),Technology,2,"$119,700",5,"$252,849",QUOT
19,Townsquare Media Inc. (TSQ),Services,0,$0,0,$0,TSQ
20,DuPont de Nemours Inc. (DD),Materials,0,$0,0,$0,DD
21,Ferrari NV (RACE),Consumer Goods,0,$0,0,$0,RACE
22,Coty Inc. (COTY),Consumer Goods,0,$0,0,$0,COTY
23,Banco Bradesco (BBD),Financials,0,$0,0,$0,BBD
24,Lamar Advertising Co. (LAMR),Services,1,"$990,590",0,$0,LAMR
25,Playa Hotels & Resorts N.V. (PLYA),Consumer Cyclical,0,$0,8,"$77,139",PLYA
26,Sanderson Farms (SAFM),Consumer Staples,0,$0,2,"$286,646",SAFM
27,Swire Pacific Ltd (0019.HK),Industrials,0,$0,0,$0,0019.HK
28,Quest Diagnostics (DGX),Health Care,0,$0,16,"$28,609,431",DGX
29,Integra LifeSciences Holdings (IART),Health Care,0,$0,8,"$9,047,179",IART
30,Eurofins Scientific SE (ERFSF),Health Care,0,$0,0,$0,ERFSF
31,Federal Signal (FSS),Industrials,2,"$114,542",3,"$307,876",FSS
32,Exela Technologies Inc. (XELT),Technology,0,$0,0,$0,XELT
33,Colfax Corp. (CFX),Industrial Goods,1,"$149,109",1,"$340,622",CFX
34,Flowserve Corp. (FLS),Industrials,1,"$15,190",0,$0,FLS
35,U.S. Well Services Inc. WTS (USWS.WS),Industrials,0,$0,0,$0,USWS.WS
36,National Oilwell Varco Inc. (NOV),Energy,4,"$171,780",0,$0,NOV
37,Ritchie Bros. Auctioneers Inc. (RBA),Services,0,$0,16,"$7,006,867",RBA
38,Akebia Therapeutics Inc. (AKBA),Health Care,0,$0,1,"$74,413",AKBA
39,Nutrien Ltd. (NTR),Materials,0,$0,0,$0,NTR
40,Super Micro Computer Inc. (SMCI),Technology,0,$0,6,"$603,441",SMCI
41,Hostess Brands Inc. WTS (TWNK.WS),Financials,0,$0,0,$0,TWNK.WS
42,Becton Dickinson (BDX),Health Care,0,$0,4,"$1,483,758",BDX
43,Signature Bank (SBNY),Financials,0,$0,0,$0,SBNY
44,Yamaha Motor Co. Ltd. (YAMHF),Consumer Cyclical,0,$0,0,$0,YAMHF
45,York Traditions Bank (YRKB),Financials,0,$0,0,$0,YRKB
46,Thermo Fisher Scientific (TMO),Health Care,0,$0,32,"$52,772,833",TMO
47,TechnipFMC plc (FTI),Energy,3,"$160,350",0,$0,FTI
48,Sea Ltd (SE),Technology,0,$0,0,$0,SE
49,Kennedy Wilson Holdings Inc. (KW),Financials,0,$0,0,$0,KW
50,Kulicke & Soffa Ind. (KLIC),Information Technology,1,"$98,275",0,$0,KLIC
51,Luckin Coffee Inc. (LK),Consumer Cyclical,0,$0,0,$0,LK
52,Ecolab Inc. (ECL),Materials,0,$0,25,"$25,957,646",ECL
53,Science Applications International Corp. (SAIC),Technology,3,"$1,117,294",0,$0,SAIC
54,Owl Rock Capital Corp. (ORCC),Financials,2,"$1,017,319",13,"$12,953,509",ORCC
55,Canadian Natl Railway Co. (CNI),Services,0,$0,0,$0,CNI
56,Shanghai Mechanical & Elect. Ind. (900925.SS),Industrials,0,$0,0,$0,900925.SS
57,Equitable Holdings Inc. (EQH),Financials,15,"$1,140,888",0,$0,EQH
58,Wabash National (WNC),Industrials,7,"$455,050",0,$0,WNC
59,SoftBank Group Corp. (SFTBF),Services,0,$0,0,$0,SFTBF
60,Nihon Parkerizing Co. (4095.T),Materials,0,$0,0,$0,4095.T
61,Tidewater Inc WTS (TDW.WS),Energy,0,$0,0,$0,TDW.WS
62,Eaton Vance Senior Floating-Rate Trust (EFR),Financials,0,$0,6,"$11,760,047",EFR
63,Facebook Inc. (FB),Technology,0,$0,22,"$15,254,640",FB
64,Dril-Quip Inc. (DRQ),Energy,0,$0,0,$0,DRQ
65,Nabors Industries Ltd. (NBR),Energy,0,$0,0,$0,NBR
66,Fairfax Financial Holdings Ltd. (FFH),Financials,0,$0,0,$0,FFH
67,Stericycle Inc. (SRCL),Industrials,0,$0,0,$0,SRCL
68,First Industrial Realty Trust Inc. (FR),Financials,0,$0,0,$0,FR
69,Cummins Inc. (CMI),Industrials,0,$0,0,$0,CMI
70,Zurich Insurance Group AG (ZFSVF),Financials,0,$0,0,$0,ZFSVF
71,Nektar Therapeutics (NKTR),Health Care,0,$0,10,"$825,141",NKTR
72,Automatic Data Processing Inc. (ADP),Information Technology,0,$0,1,"$35,058",ADP
73,Royal Dutch Shell PLC (RDS.A),Materials,0,$0,0,$0,RDS.A
74,Blue Bird Corp. (BLBD),Consumer Goods,0,$0,3,"$402,699",BLBD
75,Armstrong World Industries Inc. (AWI),Industrial Goods,0,$0,0,$0,AWI
76,Viasat Inc. (VSAT),Information Technology,0,$0,53,"$14,817,025",VSAT
77,Synaptics Inc. (SYNA),Information Technology,0,$0,16,"$3,478,128",SYNA
78,Petroleo Brasileiro (PBR),Materials,0,$0,0,$0,PBR
79,Kion Group AG (KNNGF),Industrials,0,$0,0,$0,KNNGF
80,CHEGG Inc. (CHGG),Services,0,$0,12,"$16,517,168",CHGG
81,UBS AG (UBS),Financials,0,$0,0,$0,UBS
82,Sensata Technologies Holding (ST),Consumer Goods,1,"$522,900",0,$0,ST
83,FTI Consulting Inc. (FCN),Industrials,0,$0,4,"$3,181,915",FCN
84,Crew Energy Inc. (CWEGF),Energy,0,$0,0,$0,CWEGF
85,Compagnie Financiere Richemont SA (CFRHF),Consumer Discretionary,0,$0,0,$0,CFRHF
86,Estee Lauder Cos. (EL),Consumer Staples,0,$0,12,"$12,932,381",EL
87,Dow Inc. (DOW),Materials,4,"$1,194,897",0,$0,DOW
88,CNOOC Ltd. (CEO),Materials,0,$0,0,$0,CEO
89,Aon Corp. (AON),Financials,2,"$13,650,000",4,"$761,099",AON
90,Adtalem Global Education (ATGE),Consumer Discretionary,0,$0,0,$0,ATGE
91,China Mobile Ltd. (CHL),Technology,0,$0,0,$0,CHL
92,Verizon Communications (VZ),Telecommunications Services,0,$0,2,"$613,429",VZ
93,Principal Financial Group (PFG),Financials,2,"$999,823",0,$0,PFG
94,Nuveen Floating Rate Income Fund (JFR),Financials,0,$0,0,$0,JFR
95,Suncor Energy Inc. (SU),Materials,0,$0,0,$0,SU
96,Avis Budget Group Inc. (CAR),Industrials,5,"$10,300,132",0,$0,CAR
97,Intercontinental Exchange Inc. (ICE),Financials,0,$0,21,"$34,391,538",ICE
98,First Bank (FRBA),Financials,0,$0,0,$0,FRBA
99,Wheaton Precious Metals Corp. (WPM),Materials,0,$0,0,$0,WPM
100,OneMain Holdings (OMF),Financials,6,"$1,172,017",0,$0,OMF
101,Despegar.com Corp. (DESP),Consumer Cyclical,0,$0,0,$0,DESP
102,Uber Technologies Inc. (UBER),Technology,0,$0,45,"$79,988,139",UBER
103,Darling Ingredients Inc. (DAR),Industrial Goods,5,"$197,600",0,$0,DAR
104,Corning Inc. (GLW),Information Technology,0,$0,1,"$42,038",GLW
105,Invesco Senior Loan ETF (BKLN),NA,0,$0,0,$0,BKLN
106,Telecom Argentina S.A. (TEO),Technology,0,$0,0,$0,TEO
107,ZIOPHARM Oncology (ZIOP),Health Care,0,$0,0,$0,ZIOP
108,Eaton Vance Floating-Rate Inc Trust (EFT),Financials,0,$0,0,$0,EFT
109,Aegon NV (AEG),Financials,0,$0,0,$0,AEG
110,Microchip Technology (MCHP),Information Technology,0,$0,8,"$3,196,373",MCHP
111,Dine Brands Global Inc. (DIN),Services,1,"$54,392",0,$0,DIN
112,LT Group Inc. (LTG-PS),Consumer Goods,0,$0,0,$0,LTG-PS
113,Autoliv Inc. (ALV),Consumer Goods,0,$0,1,"$45,932",ALV
114,LafargeHolcim Ltd. (HCMLF),Industrial Goods,0,$0,0,$0,HCMLF
115,Hilton Worldwide Holdings (HLT),Consumer Discretionary,0,$0,0,$0,HLT
116,Generac Holdings Inc. (GNRC),Industrial Goods,0,$0,14,"$5,348,203",GNRC
117,Zumiez Inc. (ZUMZ),Services,0,$0,0,$0,ZUMZ
118,GEA Group AG (G1A.DE),Industrials,0,$0,0,$0,G1A.DE
119,General Dynamics (GD),Industrials,0,$0,0,$0,GD
120,ABM Industries (ABM),Industrials,0,$0,1,"$105,210",ABM
121,ANAPLAN Inc. (PLAN),Technology,0,$0,9,"$12,254,437",PLAN
122,AmerisourceBergen Corp. (ABC),Health Care,2,"$201,554",12,"$8,432,699",ABC
123,Healthcare Services Group (HCSG),Industrials,0,$0,0,$0,HCSG
