Peak Brightness Date/Time (UT),Latitude,Longitude,Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2020-02-28 09:30:34,45.7,15.1,34.5,21.5,-18.2,-11.3,-2.1,115000000000,0.34
2020-02-24 22:21:28,3.6,-96,,,,,,20000000000,0.073
2020-02-10 23:48:17,28.2,76.7,41.7,31.7,-27.8,-14.3,-5.2,27000000000,0.095
2020-01-27 05:39:15,30.4,1.5,32.5,19.8,-2,-16.6,-10.6,44000000000,0.15
2020-01-24 11:13:31,28,-35.8,32,21.2,-18.6,-9,-4.7,26000000000,0.092
2020-01-21 20:07:44,33.1,34.3,43.3,27.4,-7.5,-23.5,-11.9,28000000000,0.098
2020-01-17 21:29:49,19.4,-66,14.5,15.5,-13.2,8.1,1.2,97000000000,0.29
2020-01-16 09:31:42,-71.7,-116.4,27.8,12.9,9.8,-4.5,7,59000000000,0.19
2020-01-15 06:31:39,-23.7,-125.2,31.5,,,,,196000000000,0.55
2020-01-06 11:03:50,-70.4,-17.5,,,,,,45000000000,0.15
2019-12-21 14:30:52,56.5,-147.6,35.5,22.2,14.9,-8.1,-14.3,65000000000,0.21
2019-12-11 01:19:11,47.7,161.7,37,17.8,13.7,-10.9,-3.3,39000000000,0.13
2019-12-06 10:19:57,-3.3,-37.7,19.5,,,,,46000000000,0.15
2019-12-03 06:46:27,5.6,-52.2,61.5,,,,,42000000000,0.14
2019-11-28 20:30:54,35.7,-31.7,35,13,-11.6,-2.5,-5.4,27000000000,0.095
2019-11-28 13:22:10,,,,,,,,26000000000,0.092
2019-11-28 11:55:02,-22.1,25.7,22.5,24.7,-22.8,-5.5,7.6,25000000000,0.089
2019-11-05 11:24:50,-10.4,-143.4,37,28.8,6.8,13.8,24.4,109000000000,0.33
2019-10-22 22:21:15,12,-76,40.7,,,,,27000000000,0.095
2019-10-10 16:16:36,44.3,122.9,47.3,14.1,1.5,-12.9,-5.4,206000000000,0.57
2019-09-28 10:40:20,-12.5,-107.2,52,20.4,-10.1,11.2,13.7,23000000000,0.082
2019-09-27 13:35:46,25.7,-28.4,,,,,,34000000000,0.12
2019-09-14 12:39:34,-38.6,-33.5,38,15.9,-12.9,8.1,4.6,109000000000,0.33
2019-09-13 02:02:04,-18.6,126.9,27.4,13.5,5.2,-8.1,9.5,42000000000,0.14
2019-09-12 12:49:48,54.5,9.2,42,18.5,-18.1,-0.4,3.7,169000000000,0.48
